ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
20,2021.0833333333333,0,22,40464.730593693865,5.4368334293145e-4,1.1591367818359816e-4,3.5798589390311414e-4,8.257073320914597e-4
20,2021.0833333333333,1,0,0.4324200913265486,0,0,0,0
20,2021.0833333333333,2,0,0,0,0,0,0
20,2021.0833333333333,3,0,0,0,0,0,0
20,2021.0833333333333,4,0,0,0,0,0,0
20,2021.0833333333333,5,0,0,0,0,0,0
20,2021.0833333333333,6,0,0,0,0,0,0
20,2021.0833333333333,7,0,0,0,0,0,0
20,2021.1666666666667,0,15,40940.45844745101,3.6638573598908765e-4,9.460039025157893e-5,2.208794059120233e-4,6.077456926415886e-4
20,2021.1666666666667,1,0,268.7367579909396,0,0,0,0
20,2021.1666666666667,2,0,17.59315068493288,0,0,0,0
20,2021.1666666666667,3,0,0,0,0,0,0
20,2021.1666666666667,4,0,0,0,0,0,0
20,2021.1666666666667,5,0,0,0,0,0,0
20,2021.1666666666667,6,0,0,0,0,0,0
20,2021.1666666666667,7,0,0,0,0,0,0
20,2021.25,0,21,40369.62922370806,5.201930362953948e-4,1.1351542689583606e-4,3.3916709836601734e-4,7.978391663397693e-4
20,2021.25,1,0,423.84543378907824,0,0,0,0
20,2021.25,2,0,408.0616438351183,0,0,0,0
20,2021.25,3,0,0,0,0,0,0
20,2021.25,4,0,0,0,0,0,0
20,2021.25,5,0,0,0,0,0,0
20,2021.25,6,0,0,0,0,0,0
20,2021.25,7,0,0,0,0,0,0
20,2021.3333333333333,0,18,39395.05045669261,4.5691019027346055e-4,1.076947646451999e-4,2.8787041213703237e-4,7.252114603440116e-4
20,2021.3333333333333,1,0,716.9776255721358,0,0,0,0
20,2021.3333333333333,2,0,1065.0801369883607,0,0,0,0
20,2021.3333333333333,3,0,0,0,0,0,0
20,2021.3333333333333,4,0,0,0,0,0,0
20,2021.3333333333333,5,0,0,0,0,0,0
20,2021.3333333333333,6,0,0,0,0,0,0
20,2021.3333333333333,7,0,0,0,0,0,0
20,2021.4166666666667,0,16,38258.697031928205,4.182055647804066e-4,1.0455139119510164e-4,2.5620376717927767e-4,6.826437266666578e-4
20,2021.4166666666667,1,0,838.0817351592609,0,0,0,0
20,2021.4166666666667,2,0,2018.3883561629336,0,0,0,0
20,2021.4166666666667,3,0,0,0,0,0,0
20,2021.4166666666667,4,0,0,0,0,0,0
20,2021.4166666666667,5,0,0,0,0,0,0
20,2021.4166666666667,6,0,0,0,0,0,0
20,2021.4166666666667,7,0,0,0,0,0,0
20,2021.5,0,17,34683.3726027109,4.901484118840062e-4,1.1887845143685343e-4,3.047032650542374e-4,7.884571424912359e-4
20,2021.5,1,0,3078.539726023001,0,0,0,0
20,2021.5,2,0,2778.899086754788,0,0,0,0
20,2021.5,3,0,0,0,0,0,0
20,2021.5,4,0,0,0,0,0,0
20,2021.5,5,0,0,0,0,0,0
20,2021.5,6,0,0,0,0,0,0
20,2021.5,7,0,0,0,0,0,0
20,2021.5833333333333,0,17,26447.670776305044,6.427787211882044e-4,1.5589673890343595e-4,3.995866768202088e-4,0.0010339796304025517
20,2021.5833333333333,1,3,7111.095890422362,4.2187590298712956e-4,2.4357016615423572e-4,1.3606118502107182e-4,0.001308082665116008
20,2021.5833333333333,2,4,5993.073515993652,6.674371654753178e-4,3.337185827376589e-4,2.5049657598880484e-4,0.0017783571216463889
20,2021.5833333333333,3,0,0,0,0,0,0
20,2021.5833333333333,4,0,0,0,0,0,0
20,2021.5833333333333,5,0,0,0,0,0,0
